1000,Mustermann1,Mustervorname1,Mustermann1@spengergasse.at,28.02.1998,1,3.59,931,3089
1001,Mustermann2,Mustervorname2,Mustermann2@spengergasse.at,24.09.2003,7,2.81,5775,
1002,Mustermann3,Mustervorname3,Mustermann3@spengergasse.at,29.04.1998,6,3.8,4803,9129
1003,Mustermann4,Mustervorname4,Mustermann4@spengergasse.at,31.05.2003,,,,9420
1004,Mustermann5,Mustervorname5,Mustermann5@spengergasse.at,15.06.2004,1,1.28,9379,4024
1005,Mustermann6,Mustervorname6,,01.03.2000,2,2.67,,2954
1006,Mustermann7,Mustervorname7,Mustermann7@spengergasse.at,06.03.2003,5,3.96,7551,2197
1007,Mustermann8,Mustervorname8,Mustermann8@spengergasse.at,25.10.2004,5,1.59,7295,
1008,Mustermann9,Mustervorname9,Mustermann9@spengergasse.at,05.07.2004,5,1.93,9150,1168
1009,Mustermann10,Mustervorname10,Mustermann10@spengergasse.at,15.11.1999,5,2.66,5754,8864
1010,Mustermann11,Mustervorname11,Mustermann11@spengergasse.at,03.08.2002,3,4.34,8581,487
1011,ÖMustermann12,Mustervorname12,,03.04.2000,4,,4218,7395
1012,Mustermann13,Mustervorname13,Mustermann13@spengergasse.at,08.10.1999,6,3.94,4873,
1013,Mustermann14,Mustervorname14,Mustermann14@spengergasse.at,12.05.2003,,2.63,9664,4541
1014,Mustermann15,Mustervorname15,Mustermann15@spengergasse.at,16.09.2002,2,4.14,3353,
1015,Mustermann16,Mustervorname16,,12.10.2003,2,1.72,7477,7578
1016,Mustermann17,Mustervorname17,Mustermann17@spengergasse.at,22.08.2003,3,4.47,865,9769
1017,Mustermann18,Mustervorname18,Mustermann18@spengergasse.at,28.04.2002,7,2.69,9503,3305
1018,Mustermann19,Mustervorname19,Mustermann19@spengergasse.at,02.04.2003,1,3.14,,2362
1019,Mustermann20,Mustervorname20,Mustermann20@spengergasse.at,08.04.1998,3,4.26,6455,1835
