Id,Zuname,Vorname,Email,Gebdat,Besuchsjahr,Notenschnitt
1000,Mustermann1,Mustervorname1,Mustermann1@spengergasse.at,30.12.2001,6,1.12
1001,Mustermann2,Mustervorname2,Mustermann2@spengergasse.at,31.08.1998,6,1.71
1002,Mustermann3,Mustervorname3,Mustermann3@spengergasse.at,09.12.1999,2,2.21
1003,Mustermann4,Mustervorname4,Mustermann4@spengergasse.at,24.01.2003,,
1004,Mustermann5,Mustervorname5,Mustermann5@spengergasse.at,19.03.2001,7,1.1
1005,ÄMustermann6,Mustervorname6,,25.11.2001,5,1.16
1006,Mustermann7,Mustervorname7,Mustermann7@spengergasse.at,25.02.2001,6,4
1007,Mustermann8,Mustervorname8,Mustermann8@spengergasse.at,13.08.1999,5,1.28
1008,Mustermann9,Mustervorname9,Mustermann9@spengergasse.at,15.10.2001,6,1.37
1009,Mustermann10,Mustervorname10,Mustermann10@spengergasse.at,16.12.2004,1,3.2
1010,Mustermann11,Mustervorname11,Mustermann11@spengergasse.at,06.02.2002,4,1
1011,Mustermann12,Mustervorname12,,31.10.2004,5,
1012,Mustermann13,Mustervorname13,Mustermann13@spengergasse.at,03.11.2004,2,1.96
1013,ÖMustermann14,Mustervorname14,Mustermann14@spengergasse.at,22.09.2002,,3.39
1014,Mustermann15,Mustervorname15,Mustermann15@spengergasse.at,20.11.1999,3,3.33
1015,Mustermann16,Mustervorname16,,05.03.2004,7,2.31
1016,Mustermann17,Mustervorname17,Mustermann17@spengergasse.at,24.02.2003,4,1.35
1017,Mustermann18,Mustervorname18,Mustermann18@spengergasse.at,31.03.1998,1,2.95
1018,Mustermann19,Mustervorname19,Mustermann19@spengergasse.at,15.01.2004,1,1.91
1019,Mustermann20,Mustervorname20,Mustermann20@spengergasse.at,20.12.2000,1,1.79
